"","Location","Score","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking","district_adr","avg_adr","isBrandGlobal","brandNameGlobal","isBrandUK","brandNameUK","isBrandLondon","brandNameLondon","walk_score","below_above_adr","avg_adr_div_dist_adr","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume","isBrand"
"130","Cheshunt Marriott Hotel",NA,"Halfhide Lane, Turnford, Broxbourne, England, EN10 6NG, United Kingdom, 866-573-4235","Broxbourne",NA,8.2,"Very Good",254,3.5,141256,4,"51.72051,-0.032",143,3,1,1,1,1,1,1,1,0,1,151,151,1,"Marriott",0,"Other",0,"Other",66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"131","Corner House Hotel",NA,"201 Camden Road, London, England, NW1 9AA, United Kingdom, 866-573-4235","Kentish Town",2.8,7.2,"Good",262,3,475381,3,"51.548352,-0.129701",30,NA,0,0,0,0,0,1,0,0,1,73.42857143,75.5,0,"Other",0,"Other",0,"Other",95,1,1.028210117,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",0
"132","Coulsdon Manor Hotel and Golf Club",NA,"Coulsdon Court Road, Old Coulsdon, Coulsdon, England, CR5 2LL, United Kingdom, 866-573-4235","Coulsdon",NA,7.8,"Good",189,3.5,238588,4,"51.317316,-0.123694",42,3,1,1,0,1,0,1,1,0,1,76.5,76.5,0,"Other",0,"Other",0,"Other",13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",0
"133","Crowne Plaza Gerrards Cross",NA,"Oxford Road, Beaconsfield, England, HP9 2XE, United Kingdom, 866-573-4235","Beaconsfield",NA,9,"Superb",299,4.5,545429,4,"51.595377,-0.596146",138,5,1,1,1,1,1,1,1,1,1,141.4,103.6666667,0,"Other",0,"Other",1,"Crowne Plaza",NA,0,0.733144743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",1
"134","Crowne Plaza London Ealing",NA,"Western Avenue Hanger Lane, London, England, W5 1HG, United Kingdom, 866-573-4235","London",7.3,8.4,"Very Good",245,4,180653,4,"51.529737,-0.293666",139,5,1,1,1,1,1,1,1,0,1,140.5582192,121.25,0,"Other",0,"Other",1,"Crowne Plaza",76,0,0.8626318739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal",1
"135","Crowne Plaza London Ealing",NA,"Western Avenue Hanger Lane, London, England, W5 1HG, United Kingdom, 866-573-4235","London",7.3,8.4,"Very Good",247,4,180653,4,"51.529737,-0.293666",139,5,1,1,1,1,1,1,1,0,1,140.5582192,121.25,0,"Other",0,"Other",1,"Crowne Plaza",76,0,0.8626318739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal",1
"136","De Vere Devonport House",NA,"King William Walk, Greenwich, London, England, SE10 9JW, United Kingdom, 866-573-4235","London",5.5,8.4,"Very Good",354,4,218570,4,"51.48102,-0.00803",99,4,0,1,0,1,0,1,1,0,1,140.5582192,125.75,0,"Other",1,"De Vere",0,"Other",95,0,0.8946470775,124,1,78,25,0,0,6,1,1,0,2,0,0,0,7,5,1,2,0,"Normal",1
"137","De Vere Horsley Estate",NA,"Ockham Road South, East Horsley, Surrey, Leatherhead, England, KT24 6DT, United Kingdom, 866-573-4235","Leatherhead",NA,7.4,"Good",226,3.5,253524,4,"51.264563,-0.430415",180,2,1,1,1,1,0,1,1,1,1,158.4285714,93.5,0,"Other",1,"De Vere",0,"Other",32,0,0.5901713255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,"Normal",1
"138","De Vere Latimer Estate",NA,"Latimer, Chesham, England, HP5 1UG, United Kingdom, 866-573-4235","Chesham",NA,7.4,"Good",134,3.5,270517,3,"51.68129,-0.554145",197,NA,1,1,1,1,0,1,0,1,1,106.5,106.5,0,"Other",1,"De Vere",0,"Other",12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",1
"139","Denham Grove",NA,"Tilehouse Lane, Denham, Uxbridge, England, UB9 5DG, United Kingdom, 866-573-4235","Uxbridge",NA,7.8,"Good",210,4,253510,4,"51.597602,-0.511606",96,NA,1,1,1,1,0,1,1,1,1,110.25,88.5,1,"NH",0,"Other",0,"Other",7,0,0.8027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",1
"140","Docklands Lodge London",NA,"244 Poplar High Street, London, England, E14 0BB, United Kingdom, 866-573-4235","Canary Wharf",5,7.4,"Good",219,3.5,701469,3.5,"51.50868,-0.01075",35,NA,0,1,0,0,0,1,0,0,1,229.3050847,92,0,"Other",0,"Other",0,"Other",92,0,0.4012122108,7,0,9,22,0,0,3,0,0,0,0,1,0,0,9,0,13,0,39,"Normal",0
"141","Donnington Manor Hotel",NA,"London Road, Dunton Green, Sevenoaks, England, TN13 2TD, United Kingdom, 866-573-4235","Sevenoaks",NA,8.2,"Very Good",207,4,28706528,4,"51.302489,0.160323",63,3,1,1,1,1,1,1,0,0,1,69.375,58.33333333,0,"Other",0,"Other",0,"Other",35,0,0.8408408408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",0
"142","Doubletree by Hilton Hotel Woking",NA,"Victoria Way, Woking, England, GU21 8EW, United Kingdom, 866-573-4235","Woking",NA,7.8,"Good",215,4,196189,4,"51.32227,-0.555763",170,7,1,1,1,1,1,1,0,0,1,118.1666667,149,1,"Hilton",0,"Other",1,"hilton",95,1,1.260930889,97,5,33,0,0,2,1,2,0,0,0,1,0,0,1,0,1,0,13,"Normal",1
"143","Eurotraveller Hotel Premier Tower Bridge",NA,"194 - 202 Old Kent Road, London, England, SE1 5TY, United Kingdom, 866-573-4235","Bermondsey",2.4,7.4,"Good",282,3.5,260409,3,"51.490318,-0.080599",53,NA,1,1,0,1,1,1,0,0,0,200.9423077,87,0,"Other",0,"Other",0,"Other",95,0,0.4329600919,3,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,6,"Normal",0
"144","Eurotraveller Hotel Premier Tower Bridge",NA,"194 - 202 Old Kent Road, London, England, SE1 5TY, United Kingdom, 866-573-4235","Bermondsey",2.4,7.4,"Good",281,3.5,260409,3,"51.490318,-0.080599",53,NA,1,1,0,1,1,1,0,0,0,200.9423077,87,0,"Other",0,"Other",0,"Other",95,0,0.4329600919,3,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,6,"Normal",0
"145","Fanhams Hall",NA,"Fanhams Hall Road, Ware, England, SG12 7PZ, United Kingdom, 866-573-4235","Ware",NA,8.8,"Fabulous",213,4,41861248,4,"51.82034,-0.01701",77,2,1,1,1,1,0,1,1,0,1,99.57142857,106.6666667,1,"NH",0,"Other",0,"Other",NA,1,1.071257771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",1
"146","Flat1 Camden Road",NA,"252 Camden Road, London, England, NW1 9HE, United Kingdom, 866-573-4235","Camden Town",2.8,NA,NA,NA,NA,866087104,3.5,"51.5474,-0.13072",NA,NA,0,0,0,0,0,0,0,0,1,152.0384615,90,0,"Other",0,"Other",0,"Other",95,0,0.5919554769,9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",0
"147","Grand Plaza Serviced Apartments",NA,"42 Princes Square, Bayswater, London, England, W2 4AD, United Kingdom, 866-573-4235","Paddington",2.7,7.8,"Good",314,3.5,211540,4,"51.513347,-0.190862",198,6,1,0,0,0,0,1,1,0,1,146.2151899,137.75,0,"Other",0,"Other",0,"Other",97,0,0.9421045797,144,13,83,0,1,1,21,1,0,22,4,10,0,0,0,0,3,4,63,"High",0
"148","Hallmark Hotel Croydon Aerodrome",NA,"680 Purley Way, Croydon, England, CR9 4LT, United Kingdom, 866-573-4235","Croydon",10,7.4,"Good",282,3.5,204587,4,"51.357063,-0.116661",110,4,1,1,0,1,0,1,1,0,1,85.21052632,91.25,0,"Other",0,"Other",0,"Other",67,1,1.070877085,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"Normal",0
"149","Harefield Manor Hotel",NA,"33 Main Road, Romford, England, RM1 3DL, United Kingdom, 866-573-4235","Romford",NA,7.6,"Good",224,3.5,34672448,3,"51.582836,0.188676",68,3,0,1,0,1,0,1,0,0,1,95,71,0,"Other",0,"Other",0,"Other",76,0,0.7473684211,1,0,9,0,0,0,1,0,0,0,0,1,0,2,0,17,0,0,0,"Normal",0
"150","Heathrow Lodge",NA,"556 Old Bath Road, Longford, West Drayton, England, UB7 0EF, United Kingdom, 866-573-4235","West Drayton",16,5.6,"",244,2,450412,2,"51.479869,-0.491579",45,2,0,0,0,0,0,0,0,0,1,101.2641509,33,0,"Other",0,"Other",0,"Other",31,0,0.3258803801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"Normal",0
"151","Heathrow Lodge",NA,"556 Old Bath Road, Longford, West Drayton, England, UB7 0EF, United Kingdom, 866-573-4235","West Drayton",16,5.6,"",243,2,450412,2,"51.479869,-0.491579",45,2,0,0,0,0,0,0,0,0,1,101.2641509,33,0,"Other",0,"Other",0,"Other",33,0,0.3258803801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"Normal",0
"152","Highlife Lexington Apartments",NA,"RAILWAY TERRACE, Slough, England, SL2 5FQ, United Kingdom, 866-573-4235","Slough",NA,NA,NA,NA,NA,1014179936,4,"51.5125,-0.59058",NA,NA,0,0,0,0,0,0,0,0,1,109.8235294,192,0,"Other",0,"Other",0,"Other",86,1,1.748259239,2,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,26,0,5,"Normal",0
"153","Hilton Cobham",NA,"Seven Hills Road South, Cobham, England, KT11 1EW, United Kingdom, 866-573-4235","Cobham",NA,7.4,"Good",224,3.5,236652,4,"51.333896,-0.438183",158,3,1,1,0,1,1,1,1,1,1,117.3333333,128,1,"Hilton",0,"Other",1,"hilton",29,1,1.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"154","Hilton London Hyde Park",1,"129 Bayswater Road, Hyde Park, London, England, W2 4RJ, United Kingdom, 866-573-4235","Paddington",2.6,8.4,"Very Good",281,4,192224,4,"51.510226,-0.187564",136,7,1,1,0,1,1,1,1,0,0,146.2151899,268.3333333,1,"Hilton",0,"Other",1,"hilton",97,1,1.835194644,71,2,33,0,1,1,2,0,0,1,0,1,0,0,0,0,2,0,111,"Normal",1
"155","Hilton London Syon Park",NA,"Park Road, Brentford, England, TW8 8JF, United Kingdom, 866-573-4235","Brentford",8.3,8.8,"Fabulous",160,4,362394,4,"51.479362,-0.315471",137,3,1,1,1,1,1,1,1,1,1,144.5714286,176.6666667,1,"Hilton",0,"Other",1,"hilton",75,1,1.222002635,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Normal",1
"156","Hilton London Syon Park",NA,"Park Road, Brentford, England, TW8 8JF, United Kingdom, 866-573-4235","Brentford",8.3,8.6,"Fabulous",161,4,362394,4,"51.479362,-0.315471",137,3,1,1,1,1,1,1,1,1,1,144.5714286,176.6666667,1,"Hilton",0,"Other",1,"hilton",75,1,1.222002635,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Normal",1
"157","Holiday Inn Brentford Lock",NA,"Commerce Road, Brentford, England, TW8 8GA, United Kingdom, 866-573-4235","Brentford",8.1,8.8,"Fabulous",178,4,264330,4,"51.482569,-0.312719",133,5,1,1,1,1,1,1,1,0,1,144.5714286,129.25,0,"Other",0,"Other",1,"holiday inn",84,0,0.8940217391,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Normal",1
"158","Holiday Inn Brentford Lock",NA,"Commerce Road, Brentford, England, TW8 8GA, United Kingdom, 866-573-4235","Brentford",8.1,8.8,"Fabulous",179,4,264330,4,"51.482569,-0.312719",133,5,1,1,1,1,1,1,1,0,1,144.5714286,129.25,0,"Other",0,"Other",1,"holiday inn",84,0,0.8940217391,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Normal",1
"159","Holiday Inn Express Harlow",NA,"Crown Gate, Harlow, England, CM20 1NB, United Kingdom, 866-573-4235","Harlow",NA,8.2,"Very Good",233,3.5,417780,3,"51.769148,0.09694",122,4,1,1,1,1,1,1,0,0,1,63.9,64,0,"Other",0,"Other",1,"holiday inn",90,1,1.001564945,7,1,8,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,1,"Normal",1
"160","Holiday Inn Express London - Ealing",NA,"67-75 The Broadway, Ealing, London, England, W13 9BP, United Kingdom, 866-573-4235","West Ealing",8.5,9.2,"Superb",284,4.5,396100512,3,"51.510067,-0.324786",80,5,0,0,0,1,1,1,1,0,1,99,96.5,0,"Other",0,"Other",1,"holiday inn",95,0,0.9747474747,7,0,6,0,0,0,3,0,0,0,0,3,0,0,1,1,0,0,6,"Normal",1
"161","Holiday Inn Express London - Golders Green (A406)",NA,"58 Regents Park Road, London, England, N3 3JN, United Kingdom, 866-573-4235","London",NA,8,"Very Good",262,3.5,264709,3,"51.590677,-0.199753",83,4,1,1,0,1,1,1,0,0,1,140.5582192,88,0,"Other",0,"Other",1,"holiday inn",85,0,0.626075092,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"162","Holiday Inn Express London - Newbury Park",NA,"713 Eastern Avenue, Ilford, England, IG2 7RH, United Kingdom, 866-573-4235","Ilford",NA,8,"Very Good",159,4,266514,3,"51.574087,0.086044",126,6,1,1,0,1,1,1,1,0,1,53.96721311,89.66666667,0,"Other",0,"Other",1,"holiday inn",74,1,1.661502633,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Normal",1
"163","Holiday Inn Express London - Park Royal",NA,"Victoria Road North Acton, London, England, W3 6UP, United Kingdom, 866-573-4235","North Acton",5.8,8.6,"Fabulous",311,4,215422,3,"51.522963,-0.259856",108,4,1,1,0,1,1,1,1,0,1,125.25,118,0,"Other",0,"Other",1,"holiday inn",85,0,0.9421157685,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Normal",1
"164","Holiday Inn Express London - Park Royal",NA,"Victoria Road North Acton, London, England, W3 6UP, United Kingdom, 866-573-4235","North Acton",5.8,8.6,"Fabulous",312,4,215422,3,"51.522963,-0.259856",108,4,1,1,0,1,1,1,1,0,1,125.25,118,0,"Other",0,"Other",1,"holiday inn",85,0,0.9421157685,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Normal",1
"165","Holiday Inn Express London - Swiss Cottage",NA,"152-156 Finchley Road, London, England, NW3 5HS, United Kingdom, 866-573-4235","Hampstead",3.6,8.2,"Very Good",300,4,264250,3,"51.548431,-0.180861",79,6,0,1,0,1,1,1,0,0,1,126.3225806,195.5,0,"Other",0,"Other",1,"holiday inn",96,1,1.547625128,19,0,9,0,0,0,1,0,21,0,0,0,0,1,0,1,14,0,0,"Normal",1
"166","Holiday Inn Express London - Vauxhall Nine Elms",NA,"87 South Lambeth Road, Vauxhall, London, England, SW8 1RN, United Kingdom, 866-573-4235","Vauxhall",1.9,8.4,"Very Good",307,4,169009,3.5,"51.480452,-0.124452",132,5,0,0,0,1,1,1,0,0,1,221.5,193.75,0,"Other",0,"Other",1,"holiday inn",92,0,0.874717833,11,1,14,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,"Normal",1
"167","Holiday Inn Express London - Vauxhall Nine Elms",NA,"87 South Lambeth Road, Vauxhall, London, England, SW8 1RN, United Kingdom, 866-573-4235","Vauxhall",1.9,8.4,"Very Good",309,4,169009,3.5,"51.480452,-0.124452",132,5,0,0,0,1,1,1,0,0,1,221.5,193.75,0,"Other",0,"Other",1,"holiday inn",92,0,0.874717833,11,1,14,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,"Normal",1
"168","Holiday Inn Express London - Wimbledon South",NA,"200 High Street, Colliers Wood, London, England, SW192BH, United Kingdom, 866-573-4235","Collier's Wood",6.6,7.8,"Good",189,3.5,153012,3,"51.417451,-0.178964",156,3,1,1,0,1,1,1,1,0,1,85,85,0,"Other",0,"Other",1,"holiday inn",94,1,1,24,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,2,"Normal",1
"169","Holiday Inn Express London Chingford",NA,"5 Walthamstow Avenue, Chingford, London, England, E4 8ST, United Kingdom, 866-573-4235","London",NA,8.6,"Fabulous",222,4,211323,3,"51.602792,-0.018716",102,4,0,1,0,1,1,1,1,0,1,140.5582192,81,0,"Other",0,"Other",1,"holiday inn",53,0,0.5762736642,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Normal",1
"170","Holiday Inn Express London-Epsom Downs",NA,"Langley Vale Road, Epsom, England, KT18 5LG, United Kingdom, 866-573-4235","Epsom",NA,9,"Superb",175,4,274685,3.5,"51.31261,-0.25883",120,3,0,1,0,1,1,1,0,0,1,94.5,94.5,0,"Other",0,"Other",1,"holiday inn",13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",1
"171","Holiday Inn Express Windsor",NA,"71 Alma Road, Windsor, England, SL4 3HD, United Kingdom, 866-573-4235","Windsor",NA,8.8,"Fabulous",234,4,413361,3,"51.477236,-0.616724",58,5,0,1,0,1,1,1,1,0,1,184,94,0,"Other",0,"Other",1,"holiday inn",91,0,0.5108695652,9,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Normal",1
"172","Holiday Inn Express Windsor",NA,"71 Alma Road, Windsor, England, SL4 3HD, United Kingdom, 866-573-4235","Windsor",NA,8.8,"Fabulous",233,4,413361,3,"51.477236,-0.616724",58,5,0,1,0,1,1,1,1,0,1,184,94,0,"Other",0,"Other",1,"holiday inn",91,0,0.5108695652,9,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Normal",1
"173","Holiday Inn London - Kingston South",NA,"Portsmouth Road, Kingston Tower, Surbiton, England, KT6 5QQ, United Kingdom, 866-573-4235","Surbiton",NA,8.4,"Very Good",168,4,309100,4,"51.39136,-0.320881",121,4,1,1,1,1,1,1,1,0,1,102.4,94.5,0,"Other",0,"Other",1,"holiday inn",73,0,0.9228515625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"174","Holiday Inn London - Shepperton",NA,"Felix Lane, Shepperton, England, TW17 8NP, United Kingdom, 866-573-4235","Shepperton",NA,7.6,"Good",149,3.5,181318,4,"51.39141,-0.42504",185,3,1,1,1,1,1,1,1,1,1,89.25,110,0,"Other",0,"Other",1,"holiday inn",28,1,1.232492997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"175","Holiday Inn London - Sutton",NA,"Gibson Road, Sutton, England, SM1 2RF, United Kingdom, 866-573-4235","Sutton",NA,8.2,"Very Good",170,4,175481,4,"51.362159,-0.196275",119,5,1,1,1,1,1,1,1,1,1,101.6666667,101.6666667,0,"Other",0,"Other",1,"holiday inn",97,1,1,17,7,16,0,0,0,4,0,0,0,0,2,0,1,0,0,1,0,1,"Normal",1
"176","Holiday Inn London - Watford Junction",NA,"65-67 Clarendon Road, Watford, England, WD17 1DP, United Kingdom, 866-573-4235","Watford",NA,8.8,"Fabulous",191,4.5,477738,4,"51.662692,-0.397021",93,5,1,1,1,1,1,1,1,0,1,128.6818182,98,0,"Other",0,"Other",1,"holiday inn",85,0,0.7615683504,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,38,"Normal",1
"177","Holiday Inn London Brent Cross",NA,"Tilling Road Brent Cross, London, England, NW2 1LP, United Kingdom, 866-573-4235","Cricklewood",NA,7.8,"Good",248,4,169976,4,"51.572662,-0.223892",154,10,1,1,1,1,1,1,1,0,1,99.33333333,91.33333333,0,"Other",0,"Other",1,"holiday inn",86,0,0.9194630872,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"178","Holiday Inn Slough - Windsor",NA,"1 Church Street, Chalvey, Slough, England, SL1 2NH, United Kingdom, 866-573-4235","Slough",NA,8.6,"Fabulous",240,3.5,138067,4,"51.508028,-0.610777",150,8,1,1,1,1,1,1,1,0,1,109.8235294,82,0,"Other",0,"Other",1,"holiday inn",69,0,0.7466523835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"179","Hotel Campanile Dartford",NA,"1 Clipper Boulevard West, Crossways Business Park, Dartford, England, DA2 6QN, United Kingdom, 866-573-4235","Dartford",NA,7.2,"Good",265,3,225395,2,"51.45769,0.25555",125,3,1,1,0,1,0,1,0,0,1,103.0666667,73,0,"Other",0,"Other",0,"Other",34,0,0.7082794308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",0
"180","Joseph House",NA,"59 Dunbar Rd, London, England, N22 5BG, United Kingdom, 866-573-4235","London",NA,NA,NA,NA,NA,1229589248,3.5,"51.60098,-0.102938",NA,NA,0,0,0,0,0,0,0,0,1,140.5582192,201,0,"Other",0,"Other",0,"Other",80,1,1.430012426,1,0,1,0,0,0,0,0,0,0,0,1,0,26,0,0,1,0,0,"Normal",0
"181","Kensington Suite Hotel",2,"128-130 Holland Road, London, England, W14 8BD, United Kingdom, 866-573-4235","West Kensington",3.7,6,"Good",258,2.5,260386,3,"51.501685,-0.212776",41,4,0,0,0,0,0,1,0,0,0,120.7631579,96,0,"Other",0,"Other",0,"Other",86,0,0.7949444323,50,0,32,0,0,0,6,0,0,0,0,0,0,1,0,0,7,0,41,"Normal",0
"182","King Solomon Hotel",NA,"155-159 Golders Green Road, London, England, NW11 9BX, United Kingdom, 866-573-4235","London",NA,5.6,"",244,2,270169,3,"51.575472,-0.203745",90,3,0,1,0,0,0,1,0,0,1,140.5582192,60,0,"Other",0,"Other",0,"Other",94,0,0.4268693809,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Normal",0
"183","Leigham Court Hotel",NA,"18 Leigham Court Road, Streatham, London, England, SW16 2PJ, United Kingdom, 866-573-4235","London",NA,8.4,"Very Good",267,4,547650,2.5,"51.435609,-0.124277",55,NA,0,0,0,0,0,1,0,0,0,140.5582192,114,0,"Other",0,"Other",0,"Other",89,0,0.8110518237,4,1,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,"Normal",0
"184","Macdonald Berystede Hotel",NA,"Bagshot Road, Sunninghill, Ascot, England, SL5 9JH, United Kingdom, 866-573-4235","Ascot",NA,7.6,"Good",175,3.5,138673,4,"51.394536,-0.661578",120,3,1,1,1,1,1,1,1,1,1,194.6666667,117.5,0,"Other",1,"Macdonald",0,"Other",48,0,0.6035958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"185","Macdonald Berystede Hotel",NA,"Bagshot Road, Sunninghill, Ascot, England, SL5 9JH, United Kingdom, 866-573-4235","Ascot",NA,7.8,"Good",176,3.5,138673,4,"51.394536,-0.661578",120,3,1,1,1,1,1,1,1,1,1,194.6666667,117.5,0,"Other",1,"Macdonald",0,"Other",49,0,0.6035958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"186","Marble Apartments Balham Penthouse",NA,"Apartment 9, Wallace Court, 280 Balham High Road, London, ENG, SW17 7AT, United Kingdom, 866-573-4235","London",NA,NA,NA,NA,NA,1024943040,3.5,"51.43811,-0.1571",NA,NA,0,0,0,0,0,0,0,0,1,140.5582192,122,0,"Other",0,"Other",0,"Other",92,0,0.8679677411,13,6,7,0,0,9,2,0,0,0,0,1,0,0,0,0,1,0,0,"Normal",0
"187","Marble Apartments Tooting High Street",NA,"178 Tooting High Street, Wandsworth, London, England, SW17 0SF, United Kingdom, 866-573-4235","London",6.1,NA,NA,NA,NA,1155092192,3.5,"51.42429,-0.17189",NA,NA,0,0,0,0,0,0,0,0,1,140.5582192,111.5,0,"Other",0,"Other",0,"Other",92,0,0.7932655995,9,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,"Normal",0
"188","Marygreen Manor Hotel",NA,"London Road, Brentwood, England, CM14 4NS, United Kingdom, 866-573-4235","Brentwood",NA,8.6,"Fabulous",233,4.5,216452,4,"51.613105,0.278238",44,2,1,1,1,1,0,1,1,0,1,84.57142857,91,0,"Other",0,"Other",0,"Other",58,1,1.076013514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",0
"189","Mercure St Albans The Noke",NA,"Watford Road, St Albans, England, AL2 3DS, United Kingdom, 866-573-4235","St Albans",NA,7.6,"Good",232,3.5,143167,4,"51.720673,-0.364883",110,NA,1,1,1,1,0,1,1,1,1,125.3043478,72.5,0,"Other",0,"Other",1,"Mercure",32,0,0.5785912561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"Normal",1
"190","MyPlace Camden Apartment",NA,"Georgiana Street, Camden, London, England, NW1 0EB, United Kingdom, 866-573-4235","Camden Town",2.3,NA,NA,NA,NA,1128979296,3,"51.539729,-0.137576",NA,NA,0,0,0,0,0,0,0,0,1,152.0384615,142,0,"Other",0,"Other",0,"Other",99,0,0.9339741968,175,34,90,16,0,17,13,0,0,0,0,0,12,1,0,0,2,0,0,"High",0
"191","Myshortstay - Fulham Parsons Green",NA,"flat 26, Sullivan Court, London, England, SW6 3BY, United Kingdom, 866-573-4235","Hammersmith and Fulham",4,NA,NA,NA,NA,1100543712,4,"51.469696,-0.197458",NA,NA,0,0,0,0,0,0,0,0,1,144.65625,132,0,"Other",0,"Other",0,"Other",92,0,0.9125081011,33,2,26,0,0,0,2,0,0,7,5,2,0,0,0,0,0,5,0,"Normal",0
"192","Myshortstay - Maida Vale private terrace",NA,"199a Lanark Road, London, England, W9 1NX, United Kingdom, 866-573-4235","Maida Vale",3,NA,NA,NA,NA,1100536192,4,"51.531213,-0.186628",NA,NA,0,0,0,0,0,0,0,0,1,152.6666667,148,0,"Other",0,"Other",0,"Other",93,0,0.9694323144,32,1,28,0,0,0,8,0,0,2,0,1,0,0,0,0,1,0,0,"Normal",0
"193","New Market House",NA,"17 York Way, Camden, London, England, N7 9QG, United Kingdom, 866-573-4235","Camden Town",2.5,6.2,"Good",251,3,388990,3,"51.543217,-0.125959",33,NA,1,1,0,0,0,1,0,1,0,152.0384615,97.5,0,"Other",0,"Other",0,"Other",89,0,0.6412850999,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",0
"194","OYO Epsilon Hotel",NA,"27-A  Romford Road, Newham, London, England, E15 4LL, United Kingdom, 866-573-4235","Stratford",6.2,7.8,"Good",229,4,487156,3,"51.542251,0.00624",38,3,0,1,0,0,0,1,0,0,0,152.72,140.25,0,"Other",0,"Other",0,"Other",95,0,0.9183473023,72,6,47,44,0,0,5,20,107,0,0,3,8,1,1,0,1,0,23,"High",0
"195","OYO Home Clapham 2 Bedroom Superior",NA,"70, Kings Ave, London, England, SW4 8BH, United Kingdom, 866-573-4235","Clapham",3.7,NA,NA,NA,NA,1182716096,4,"51.453336,-0.130065",NA,NA,0,0,0,0,0,0,0,0,1,101.6923077,108.5,0,"Other",0,"Other",0,"Other",83,1,1.066944024,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",0
